1INCH-USD,crypto
AAVE-USD,crypto
ADA-USD,crypto
ALGO-USD,crypto
APT-USD,crypto
ARB-USD,crypto
ATOM-USD,crypto
AVAX-USD,crypto
AXS-USD,crypto
BCH-USD,crypto
BEAM-USD,crypto
BNB-USD,crypto
BONK-USD,crypto
BTC-USD,crypto
CHZ-USD,crypto
COMP-USD,crypto
CRV-USD,crypto
DASH-USD,crypto
DOGE-USD,crypto
DOT-USD,crypto
ENJ-USD,crypto
EOS-USD,crypto
ETC-USD,crypto
ETH-USD,crypto
FIL-USD,crypto
FTM-USD,crypto
GALA-USD,crypto
GMX-USD,crypto
GRT-USD,crypto
GRT6719-USD,crypto
HBAR-USD,crypto
ICP-USD,crypto
INJ-USD,crypto
JTO-USD,crypto
JUP-USD,crypto
KAVA-USD,crypto
LDO-USD,crypto
LINK-USD,crypto
LTC-USD,crypto
MANA-USD,crypto
MATIC-USD,crypto
MKR-USD,crypto
NEAR-USD,crypto
ONDO-USD,crypto
OP-USD,crypto
PEPE-USD,crypto
PEPE24478-USD,crypto
POL28321-USD,crypto
PYTH-USD,crypto
RENDER-USD,crypto
RUNE-USD,crypto
SAND-USD,crypto
SHIB-USD,crypto
SNX-USD,crypto
SOL-USD,crypto
STRK-USD,crypto
SUI-USD,crypto
SUI20947-USD,crypto
THETA-USD,crypto
TIA-USD,crypto
TON-USD,crypto
UNI-USD,crypto
UNI7083-USD,crypto
USUAL-USD,crypto
VET-USD,crypto
WIF-USD,crypto
WLD-USD,crypto
XLM-USD,crypto
XRP-USD,crypto
XTZ-USD,crypto
ZEC-USD,crypto
